window_id,film,window_start,window_end,true_is_song,true_is_action,song_prob,action_prob,predicted_label,confidence,correct
W049,RRR (2022),00:49:25,00:51:32,0,1,0.0,0.7652,action,0.7652,YES
W026,Dil Bechara (2020),00:04:39,00:06:53,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W162,3 Idiots (2009),01:47:40,01:49:11,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W146,Pushpa (2021),01:47:46,01:50:10,0,1,0.0,0.7652,action,0.7652,YES
W036,Pushpa (2021),00:52:30,00:54:50,0,1,0.0,0.55,action,0.55,YES
W199,Kabir Singh (2019),01:12:50,01:15:03,1,0,0.9594,1.0,QA_QUEUE,0.9797,NO
W027,Dil Bechara (2020),00:50:20,00:52:27,1,0,0.9594,0.0,song,0.9594,YES
W087,Bahubali 2 (2017),01:55:32,01:57:07,1,0,0.9594,0.0,song,0.9594,YES
W071,Bahubali 2 (2017),00:26:56,00:29:13,0,0,0.0,0.0,dialogue/neither,1.0,YES
W115,Dil Bechara (2020),01:13:17,01:15:36,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W168,3 Idiots (2009),02:38:46,02:41:14,1,0,0.9594,0.0,song,0.9594,YES
